part_number,depth,height,length,weight
P750-838,34,37,84.38,77
P783-701,30,16.25,48,42
P783-702,20.13,22.25,20.25,20
P783-814,28.25,20,28.25,17
P783-815,77,40,28,40
P783-820,36,28.25,42.25,42
P783-835,35.63,35.5,70.5,68
P783-838,36,37,97.13,90
P784-814,28.5,19.5,28.5,20
P784-815,76.88,17.25,28.13,44
P784-821,36.25,35,42.63,56
P784-835,36,36,71,75
P784-838,36,36,97.38,100
P791-600,17,20.38,54,26
P791-601,25.63,40.25,20.75,28
P791-601A,25.63,40.25,25.5,44
P791-625,42.25,29.25,84.25,198
P791-701,28.13,18.25,48.25,78
P791-702,22.25,22.25,22.25,34
P791-773,30,25.13,58,82
P791-815,79.38,39.75,30.13,36
P791-821,38.13,34,35.38,45
P791-835,36.61,29.92,57.09,65.5
P791-838,37.75,34.63,82.25,79
P791-846,37.75,34.63,24.75,25
P791-851,41.5,34.63,73.5,58
P791-854,37.75,34.63,107,99
P792-600,17,20.38,54,26
P792-601,25.63,40.25,20.75,28
P792-601A,25.63,40.25,25.5,44
P792-625,42.25,29.25,84.25,198
P792-701,28.13,18.25,48.25,78
P792-702,22.25,22.25,22.25,34
P792-773,30,25.13,58,82
P792-821,38.13,34,35.38,45
P792-838,37.75,34.63,82.25,79
P792-846,37.75,34.63,24.75,25
P792-851,41.5,34.63,73.5,58
P792-854,37.75,34.63,107,99
P798-601A,24.5,36,25.25,29
P798-602A,25.75,35.75,25.38,46
P798-625,42,28.88,80,65
P798-701,28,18,49.88,51
P798-702,21.63,23.25,21.63,24
P798-814,24.5,19,35.13,21
P798-821,35,36,36.38,53
P798-835,36.25,35.88,58.5,66
P798-838,36.25,35.88,82.63,90
P801-820,35,32,30,35
P801-835,35,32,55.5,48
P801-838,35,32,81,108
P802-600,14,19,54,35
P802-601A,24.25,37.13,24.75,62
P802-625,42,28.88,72.38,94
P802-701,24.13,18.13,48,35
P802-702,21.5,23.13,21.38,21
P802-815,78,24.38,32.75,85
P802-820,32.5,37,30,96
P802-835,32.5,37,54,82
P802-838,32.5,37,79.75,116
P802-898,33,37.25,31,39
P804-701,25.88,18.13,48.88,30
P804-702,22,20.5,22.13,21
P804-846,34.25,35.25,28.13,39
P804-854,34.75,35,59.13,166
P804-877,44,35.5,63,82
P805-701,26,18.63,50,37
P805-702,24,22,24,22
PA160-003,20,6.5,33,4.41
PA160-003S,10,8,26,2.2
PA187-002,23.19,7,24,3.68
PA226-002,18.7,2.05,20.67,1
PA285-002,24,2.75,79.5,5.2
PA297-001,16,7,16,1.5
PA297-002,26,5.5,26,4
PA297-003,16,9,26,4
PA297-013,15.5,9,26,4
PA297-023,15.5,9,30,4.5
PA30-1,,,,2
PA301-001,,,,1.3
PA301-002,,,,5
PA301-003,,,,2.8
PA301-013,,,,2.8
PA301-023,,,,2.8
PA302-001,16,5,16,1.3
PA302-002,26.19,5.5,26.19,4.99
PA302-003,16,5.69,26.19,2.79
PA302-013,16,5.69,26.19,2.79
PA302-023,16,5.69,26.19,2.79
PA305-002,20,3.25,21,1.8
PA307-002,,,,1
PA308-001,,,,1
PA308-002,,,,2
PA309-002,18.75,2,20,1.1
PA313-002,21.5,3.5,21.25,1.55
PA313-003,20,6,20,1.4
PA313-012,20.25,3.5,17.75,1.25
PA325-003,21,6,22,5.5
PA328-002,19.49,1.97,20.16,1.5
PA328-012,19.49,1.97,40.24,2.33
PA333-001,16.5,6.61,16.5,1
PA333-003,17.76,7.01,22.99,3
PA334-001,,,,1.3
PA334-002,,,,3
PA334-003,,,,2
PA335-001,16,7,16,1.5
PA335-002,24,6,24,7
PA335-003,18,6.5,24,4
PA338-002,23.23,3.54,22.05,2.2
PA338-003,21.65,2.95,17.13,1.32
PA338-012,43.5,3.54,26.97,3.97
PA340-001,16.53,4.72,15.75,1.25
PA340-002,24,5.9,24,4.88
PA340-003,24,7.87,18.11,3.53
PA342-001,16,6,16,2.86
PA342-002,23.07,5.12,23.5,7
PA342-003,16.57,3.94,23.5,6
PA345-002,27.17,3.94,23.82,3.6
PA345-003,21.26,6.69,26.77,2.9
PA348-001,16,6,16,1.1
PA348-002,23.5,6,24,4.85
PA348-003,17,4.5,24,2.2
PA348-012,23.5,6,48,9.48
PA348-013,17,4.5,48,5.29
PA349-001,16,6,16,1.1
PA349-002,23.5,6,24,4.85
PA349-003,17,4.5,24,2.2
PA349-011,16,6,16,1.1
PA349-012,23.5,6,48,9.5
PA349-013,17,4.5,48,5.3
PA349-022,23.5,6,24,4.85
PA349-023,17,4.5,24,2.2
PA349-032,23.5,6,48,9.5
PA349-033,17,4.5,48,5.3
PA350-002,23.75,5,22.5,2.6
PA350-003,18,4.75,22.5,2.15
PA350-012,23.75,5,50,5.95
PA350-013,18,4.75,24.75,2.3
PA351-002,,,,2
PA351-003,,,,1
PA358-002,19,3,22,1.34
PA359-002,19,3,22,1.34
PA361-001,,,,1.3
PA361-002,,,,5
PA361-003,,,,2.8
PA362-001,15.55,7.09,15.55,1.76
PA362-002,22.44,6.69,23.82,6.6
PA362-003,22.44,6.69,25,5.5
PA372-002,18.31,2.36,18.31,1.1
PA390-001,16,7,16,1.1
PA390-002,27,7.31,23.83,6
PA390-003,19,10,23.25,4
PA390-011,16,7,16,1.1
PA390-012,27,7.31,23.83,6
PA390-022,27,7.31,23.83,6
PA390-032,27,7.31,23.83,6
PA399-002,17.13,2.87,19.29,1.37
PA40-1,,,,2
PA407-002,18.78,1.97,18.86,1
PA414-001,17.91,6.3,17.91,1.85
PA417-001,16.54,6.89,16.54,1.28
PA417-002,24.61,7.48,29.53,4.72
PA417-003,16.14,7.48,24.61,3.17
PA420-001,16.54,6.89,16.54,1.54
PA420-002,24.61,7.48,25.2,5.19
PA420-003,20.08,8.27,24.61,3.56
PA420-012,19.29,2.36,20.87,1.19
PA420-022,14.76,1.97,54.33,3.32
PA439-001,16,7,16,1.1
PA439-002,27.25,7.25,23.5,6
PA439-003,18.75,8,23.5,5
PA439-011,16,7,16,1.1
PA439-012,29,7.25,58,12
PA439-013,21,8,34,5.5
PA439-022,15.5,7.25,47.5,7
PA440-001,,,,1.3
PA440-011,,,,1.3
PA440-021,,,,1.3
PA443-001,16.5,7,5,2
PA443-012,26.5,7.48,52.99,11.86
PA445-001,15.5,5.5,15.5,1
PA451-011,16.93,6.3,16.73,1
PA451-021,16.93,6.3,16.73,1.46
PA452-001,16.54,6.5,16.54,1
PA452-011,16.54,6.5,16.54,1
PA453-022,36.77,7.01,78.74,14
PA455-001,16.5,5.5,16.5,1.3
PA455-002,23.6,4,23.6,5.5
PA455-003,18.1,8.7,23.2,2.8
PA455-011,16.5,5.5,16.5,1.7
PA455-012,22,4,22,5
PA455-013,18.1,8.7,23.2,2.8
PA455-023,18.1,8.7,23.2,2.8
PA455-033,18.1,8.7,21.3,2
PA456-001,17.72,5.91,17.72,1.3
PA458-001,15.75,7.09,15.75,1.32
PA458-002,16.54,4.72,28.74,5.61
PA458-003,16.54,7.09,28.74,3.08
PA458-011,15.75,7.09,15.75,1.32
PA458-012,32.68,4.72,32.68,5.5
PA458-013,16.54,7.09,25.2,2.65
PA458-022,37.8,4.72,80.71,11.55
PA458-023,16.54,7.09,31.89,2.97
PA459-001,15.75,7.09,15.75,1.32
PA459-002,16.54,4.72,28.74,5.61
PA459-003,16.54,7.09,28.74,3.08
PA459-011,15.75,7.09,15.75,1.32
PA459-012,32.68,4.72,32.68,5.5
PA459-013,16.54,7.09,25.2,2.42
PA459-022,37.8,4.72,80.71,11.77
PA459-023,16.54,7.09,31.89,2.97
PA460-012,,,,2.2
PA465-001,16,7,16,1.35
PA465-002,27,7,24,4.72
PA465-003,20,8,24,3.64
PA465-011,16,7,16,1.21
PA465-012,27,7,27,5.07
PA465-013,20,8,27,4.01
PA465-022,18,7,50,4.62
PA50-1,,,,2
PA50-2,,,,1.94
PA505-002,28.5,5.25,28.5,3.97
PA505-003,18.5,6.5,18.5,2.09
PA507-001,15.5,8,15.5,1.43
PA507-002,27,6.9,24.4,4.85
PA507-003,21,8.5,26,3.42
PA507-011,15.5,8,15.5,1.43
PA507-012,23,6.9,24,3.64
PA514-001,15.75,6.5,15.75,1
PA514-002,25.2,5.12,25.2,4
PA514-003,21.46,9.84,25.2,4
PA514-011,15.75,6.5,15.75,2.87
PA518-001,16.14,6.3,16.14,1.57
PA518-002,26.38,7.87,23.23,5.67
PA518-003,25.79,8.86,23.62,3.02
PA518-011,16.14,6.3,16.14,1.57
PA518-012,18.7,3,19.88,1.786
PA518-022,17.13,3,54.33,4.34
PA539-002,19.02,3.94,17.52,1.94
PA560-001,16.5,5.5,16.5,1.5
PA560-002,27.9,7.5,24.8,5.1
PA560-003,19.6,9.84,25.5,3.5
PA560-011,16.5,5.5,16.5,1.5
PA564-001,16.5,5.5,16.5,1.5
PA564-002,27.9,7.5,24.8,5.1
PA564-003,19.6,9.84,25.5,3.5
PA564-011,16.5,5.5,16.5,1.5
PA564-032,18.1,3.74,54.3,4.4
PA660-001,16,7,16,2
PA660-002,34.75,8.66,34.75,10
PA660-003,15,10,33,5.8
PA660-013,15,10,24,5
PA750-001,15.75,5.91,15.75,1
PA750-003,27.17,8.27,21.65,2
PA750-012,26.38,7.09,25.59,5
PA775-001,16.5,7.48,16.5,1.15
PA782-001,16.5,7.48,16.5,1.23
PA782-011,16.5,7.48,16.5,1.17
PA782-021,16.5,7.48,16.5,1.12
PA783-001,,,,1.3
PA783-002,,,,5
PA783-003,,,,2.8
PA783-012,,,,5
PA784-001,16,7,16,1.19
PA784-002,28,8,28,6.42
PA784-003,18,9,28,3.52
PA784-011,16,7,16,1.19
PA784-012,28,5.5,77,11.26
PA784-022,28,8,28,6.42
PA791-001,16,6.5,16,2
PA791-002,24,8,28,5
PA791-003,19,9,24,3
PA791-011,16,7,16,1
PA791-012,31.69,8.23,60.43,10.39
PA791-013,18.5,9,33,4
PA791-022,21,3.75,19,2
PA791-032,18,4.25,54.38,5
PA791-042,25.5,3,78,5
PA792-001,18.11,5.9,18.11,1.48
PA792-002,23.82,5.12,27.17,5.18
PA792-003,18.5,4.72,24.41,2.98
PA792-011,18.11,5.9,18.11,1.48
PA792-012,28.54,5.51,59.84,9.48
PA792-013,18.5,4.72,33.26,3.84
PA792-022,18.11,2.56,20.47,1.77
PA792-032,17.72,2.36,54.13,4.34
PA798-001,15.35,6,15.35,1.45
PA798-002,23.82,6.69,27.68,4.58
PA798-003,18.11,7.09,23.62,3.3
PA798-011,15.35,6,15.35,1.45
PA798-012,23.62,5.91,24.8,3.83
PA798-022,19.49,2.17,20.47,1.41
PA801-001,,,,1.1
PA801-002,,,,6.09
PA801-003,,,,4
PA801-011,,,,1.1
PA802-001,14.9,6,15.7,1
PA802-002,24,7.4,26.7,5
PA802-003,23.6,7.8,25.9,3
PA802-012,17.7,1.96,19.26,1
PA802-022,27.17,2.76,77.95,11.26
PA802-032,14.76,1.97,54.33,3.32
PA804-001,16,7,16,2.2
PA804-002,28,7.5,28,6
PA804-003,19,10,28,6.6
PA804-011,16,7,16,2.2
PA804-012,28,7.5,31,8.8
PA804-013,19,10,36,6.6
PA804-022,28,7.5,31,8.8
PA804-023,19,10,36,6.6
PA804-032,36,7.5,54.25,9.24
100-400,54,10,36,13
100-401,55,8,38,13
100-402,57,10,35.5,14
100-403,48,10.5,38.5,12
100-404,50,9.5,38.25,10
100-405,50.5,9.5,31,9
100-406,50.5,10,30.75,10
100-407,58.25,8,42,14
100-408,55.5,8,37.5,15
100-409,55.5,8,37.5,16
100-410,54.49,8,37.99,17
100-411,48.5,8,25,11
100-412,50,8,25.98,11
100-413,54.02,9,36.02,18
100-414,57.48,7.25,32.01,13
100-415,67.99,8,24.53,15
100-416,67.99,8,24.53,15
100-417,55,7.25,29.76,11
100-418,47.99,7.5,29.49,10
100-419,47.99,7.5,29.49,10
100-420,47.99,7.5,29.49,12
100-421,47.99,7.5,29.49,12
100-422,47.99,7.5,29.49,12
100-423,47.99,7.5,29.49,11
100-424,47.99,7.5,29.49,12
100-425,47.99,7.5,29.49,12
100-426,52.01,8,25.98,12
100-427,52.01,8,25.98,12
100-428,52.01,8,25.98,12
100-429,55.5,8,34.25,16
100-430,47.76,7.5,25,10
100-431,57.01,7,29.02,11
100-432,54.49,7.25,29.49,11
100-433,68.5,8,24.02,15
100-434,54.02,8,30,14
100-435,68.5,8,26.5,16
100-436,57.48,7.25,30.51,12
100-437,46,8,26.5,11
100-438,46,8,26.5,11
100-439,52.52,7.5,25.98,11
100-440,52.52,7.5,25.98,12
100-441,35.25,8.5,71,20
100-442,50.75,8,26.5,12
100-443,57.01,7.25,34.49,14
100-444,54.72,7.5,27.56,13
100-445,39.25,8.5,54.49,20
100-446,47.99,7.5,35.99,12
100-447,47.99,7.5,35.99,12
100-448,55.98,4.75,30.98,8
100-449,72.01,6.25,29.92,14
100-450,72.01,6.25,29.92,14
100-451,72.01,7.5,29.92,18
100-452,52.01,6.75,25,8
100-453,62.01,8,32.76,18
100-454,58.5,5.5,33.5,11
100-456,52.99,5.5,26.54,8
100-457,56.5,5.5,33.5,11
100-458,47,7.5,35,13
100-459,52.99,8,35,16
100-460,48.5,7.5,23.5,9
100-461,48.5,7.5,23.5,10
100-462,48.5,7.5,23.5,9
100-463,55.98,8.5,37.48,17
100-464,55.98,8.5,37.48,17
100-465,50.24,8,37.99,16
100-466,55,8,35.47,16
100-467,48.5,7.5,24.49,10
100-468,48.5,7.5,24.49,10
100-469,48.5,7.5,24.49,10
100-470,54.02,7.25,30.98,12
100-471,61.1,8.5,40.24,19
100-472,61.1,8.5,40.24,19
100-473,52.99,7.5,25,11
100-474,54.49,8,36.54,16
100-475,54.49,8,38.27,17
100-476,54.02,8,29.02,14
100-477,54.02,8,29.02,14
100-478,54.02,8,29.02,14
100-479,54.02,8,29.02,14
100-480,47.99,7.5,27.99,10
100-481,47.99,7.5,27.99,10
100-482,48.5,8,29.02,12
100-483,60.75,8,34.02,18
100-484,60.75,8,34.02,18
100-485,60.75,8,34.02,18
100-486,60.75,8,34.02,18
100-487,46,6.75,25,8
100-488,55.98,8,36.89,17
100-489,46,8.5,26.5,10
100-490,46,8.5,26.5,10
100-491,46,8.5,26.5,10
100-492,46,8.5,26.5,10
100-493,46,8.5,26.5,10
100-494,43,7.5,24,9
100-495,48.5,8,23.5,10
100-496,48.5,8,23.5,10
100-497,46.14,8,22.24,9
100-498,52.01,7.5,25,11
100-499,61.72,10,47.25,14
100-500,56.5,10,39.21,11
100-501,61,12,39.5,14
100-502,59,10,44.5,11
100-503,58.25,8.5,41.25,9
100-504,52.5,9,52.5,14
100-505,59,10.5,46.75,13
100-506,70.5,10,39.76,11
100-507,36,8,54.72,7
100-508,56.54,10,38.5,6
100-509,59,10,42,10
100-510,37.5,3.5,37.5,3
100-514,59,10.5,46.75,13
100-515,48,10,39.25,9
100-516,57,10,36.5,11
100-517,59,10,44.5,11
100-518,57.25,7.5,49.5,14
100-519,70,10,39.75,11
100-520,38.5,10,56.54,17
100-521,75.35,10.5,39.29,18
100-522,56.5,10,37,16
100-523,70,9.5,38.23,16
100-524,75.35,10.5,39.29,18
100-526,73,1.5,47,5
100-527,58,4,45,5
100-528,55.12,5,39.37,9
100-529,55.12,5,39.37,9
100-530,56.26,8.5,52.99,19
100-531,73.46,3,47.48,5
100-532,57.48,4,44.49,10
100-533,50,9.5,37.24,13
100-534,48.5,9.5,37.99,12
100-535,56.73,10,38.5,16
100-536,60.98,13,50.51,29
100-537,32.01,10,71.5,17
100-538,49.96,10,30.2,10
100-539,52.52,11,52.52,21
100-540,52.52,11,52.52,23
100-541,60.98,13,52.48,24
100-542,23.5,5.5,32.01,4
100-543,50.51,9.5,30.51,9
100-544,41.77,10.5,44.96,4
100-545,60.98,13,40,18
100-546,54.02,8,29.02,14
100-547,54.02,9,36.02,18
100-548,61,12,39.5,14
100-549,60.98,13,40,18
100-550,60.98,13,52.48,24
100-551,47.99,7.5,29.49,12
100-552,36,8,54.72,7
100-553,60.75,8,34.02,18
100-554,60.98,13,50.51,29
100-555,50,9.5,37.24,13
100-556,56.73,10,38.5,16
100-557,57.25,7.5,49.5,14
100-558,48.23,10.63,38.78,11
100-559,50,7.52,36.5,11
100-560,50,7.52,36.5,11
100-561,50.12,10.16,36.26,11
100-562,50.12,10.16,36.26,11
100-563,54.72,7.99,37.99,13
100-564,54.72,7.99,37.99,13
100-565,55.63,12.6,38.74,14
100-566,55.63,12.6,38.74,14
100-567,56.61,10.63,39.09,14
100-568,56.61,10.63,39.09,14
100-569,56.61,10.63,39.09,17
100-570,56.61,10.63,39.09,17
100-571,50.24,10.16,37.48,11
100-572,50.24,10.16,37.48,11
100-573,50.12,10.16,41.22,12
100-574,50.12,10.16,41.22,12
100-575,50.98,9.53,37.24,11
100-576,50.98,9.53,37.24,11
100-577,56.77,10.63,38.74,14
100-578,56.77,10.63,38.74,14
100-579,58.5,12,37.52,15
100-580,58.5,12,37.52,15
100-581,58.5,12,41.5,17
100-582,58.5,12,41.5,17
100-583,60.94,14.13,48.62,23
100-584,60.94,14.13,48.62,23
100-585,27.52,10.98,71.5,12
100-586,47.99,10,38.78,10
100-587,58.5,12,40.28,17
100-588,58.5,12,40.28,17
100-589,57.13,10.5,38.5,7
100-590,57.13,10.5,38.5,7
100-591,51.02,9.5,35.47,11
100-592,59.09,13.6,46.46,21
100-593,59.09,13.6,46.46,21
100-594,54.02,10,34.49,13
100-595,52.01,10,37.01,12
100-596,50.51,9.52,32.01,10
100-597,52.01,10,36.22,12
100-598,55.75,8.5,65,24
100-599,52.01,10,36.22,12
100-600,60.98,13.6,40,18
100-601,52.01,11.97,36.26,13
100-602,59.09,11.97,40.35,16
100-603,48.98,11.97,38.5,12
100-604,52.01,9.53,35.47,11
1020108,51,20,51,61
1020208,51,20,51,61
1100108,42,20,42,49
1140238,38,38,79,115
1240408,38,19,38,42
1290011,36,21,36,69
1330208,42,21,42,44
1330216,70,30.67,39,100
1330217,70,30.67,39,100
1330234,43,30.67,52,86
1330246,43,30.67,26,46
1330255,43,30.67,61,84
1330256,43,30.67,61,84
1330266,43,30.67,87,137
1330267,43,30.67,87,137
1330277,43,30.67,43,81
1340523,41,40,57,92
1340535,41,40,76,108
1600511,44,21,44,80
1680508,40,18,40,74
2070235,38,38,63,97
2070238,38,38,87,129
2570408,42,23,42,41
2640415,64,38,43,102
2720211,39,19,39,99
2980177,41,36,41,62
3370644,47,32,50,106
3490717,87,38,35,106
3490767,35,38,79,101
3492708,36,21,36,41
3510342,37,37,30,58
4030608,42,21,42,44
4210114,25,21,53,47
4600508,36,18,36,44
4600516,68,37,37,102
4600517,68,37,37,102
4600534,39,37,52,36
4600546,39,37,26,45
4600555,39,37,60,99
4600556,39,37,60,99
4600571,39,37,64,143
4600577,39,37,39,63
4600614,22,19,42,36
4990314,23,18,43,29
4990514,23,18,43,29
5020508,36,19,36,40
5250116,67,38,36,118
5250117,67,38,36,118
5250177,39,38,39,77
5252111,37,21,37,69
5750014,24,19,44,38
6150008,51,20,51,61
6150016,66,39,37,99
6150017,66,39,37,99
6150077,39,39,39,70
6150099,39,39,77,89
6152008,51,20,51,61
6152016,66,39,37,99
6152017,66,39,37,99
6152034,39,39,52,67
6152046,39,39,25,43
6152055,39,39,60,91
6152056,39,39,60,91
6152077,39,39,39,70
6152099,39,39,77,89
6440311,36,21,36,48
6440317,64,39,41,116
6440334,39,39,62,86
6440346,39,39,31,38
6440355,39,39,72,124
6440356,39,39,72,124
6440377,39,39,39,72
6440399,39,39,93,156
6760216,67,37,39,102
6760234,37,37,64,99
6760266,37,37,100,151
6762208,36,19,36,40
6860466,36,34,34,110
6950416,67,36,41,105.8
7370114,24,20,43,30
8120208,34,19,34,38
9220408,36,21,36,40
9220421,55,35,56,134
9220608,36,21,36,40
9220621,55,35,56,134
9280111,37,20,37,100
9280121,54,39,58,134
9330317,37,35,75,113
9650214,24,18,44,28
9650223,44,38,49,102
9650235,44,38,68,128
9831042,39,36,36,75
9900414,24,20,43,30
9900438,40,40,91,136
9900439,40,40,91,201
1000608,42,20,42,55
1000616,65,35,50,110
1000617,65,35,50,110
1000646,41,35,40,62
1000664,41,35,50,77
1000665,41,35,50,77
1000677,41,35,41,68
1000708,42,20,42,55
1000716,65,35,50,110
1000717,65,35,50,110
1000746,41,35,40,62
1000764,41,35,50,77
1000765,41,35,50,77
1000777,41,35,41,68
1110216,73,36,39,111
1110217,73,36,39,111
1110234,37,36,64,94
1110255,37,36,70,112
1110256,37,36,70,112
1110277,37,36,37,68
1150220,34,35,35.5,45
1150271,53,36,83,130
1150320,33.5,36.5,36.13,43
1150371,53.5,36,83,129
1170214,24,20,40,29
1170223,42,36,44,95
1170235,42,36,64,123
1170238,42,36,90,152
1190208,37,20,37,54
1190246,40,39,24,42
1190248,40,39,93,144
1190249,40,39,93,144
1190255,40,39,54,80
1190256,40,39,54,80
1200008,36,19,36,54
1200046,38,38,23,39.24
1200055,38,38,56,80.47
1200056,38,38,56,80.47
1200066,38,38,93,123.9
1202008,36,19,36,54
1202014,23,18,30,25
1202020,36,38,40,70
1202025,40,40,42,98.3
1202035,36,38,69,90.49
1202036,36,38,90,192.33
1202038,36,38,90,118
1202046,38,38,23,39.24
1202055,38,38,56,80.47
1202056,38,38,56,80.47
1202066,38,38,93,123.9
1202067,38,38,93,123.9
1202108,36,19,36,54
1202114,23,18,30,25
1202120,36,38,40,70
1202125,40,40,42,98.3
1202135,36,38,69,90.49
1202136,36,38,90,192.33
1202138,36,38,90,118
1202146,38,38,23,39.24
1202155,38,38,56,80.47
1202156,38,38,56,80.47
1202166,38,38,93,123.9
1202167,38,38,93,123.9
1220614,24,19,34,25
1220620,38,37,37,75
1220635,38,37,61,107
1220638,38,37,84,126
1230314,24,18,44,36
1230323,40,38,49,98
1230335,40,38,68,119
1230338,40,38,94,138
1320114,24,19,44,28
1320123,44,40,51,102
1320135,44,40,71,139
1320138,44,40,98,171.64
1361108,42,21,42,41
1361116,66,40,37,99
1361117,66,40,37,99
1361134,39,40,52,81
1361146,39,40,25,45
1361155,39,40,60,96
1361156,39,40,60,96
1361177,39,40,39,77
1361199,39,40,77,89
1390414,23,19,33,29
1390420,40,39,39,68
1410111,41,20,41,84
1410114,24,20,44,29
1410177,42,39,68,76
1440408,51,21,51,61
1440446,43,39,39,76
1440464,43,39,48,105
1440465,43,39,48,105
1440477,43,39,43,92
1460316,69,36,40,93
1460317,69,36,40,93
1460346,42,36,33,56
1460364,41,36,40,83
1460365,41,36,40,83
1460377,41,36,41,81
1500514,33,19,42,37
1500523,42,36,42,83
1500535,42,36,61,109
1510414,23,20,43,39
1510423,41,40,53,92
1510435,41,40,73,117
1510438,41,40,100,151
1530502,64,39,88,154
1530503,64,39,88,154
1530511,36,21,36,100
1530516,87,39,37,127
1530517,87,39,37,127
1530521,56,32,56,134
1540308,42,20,42,55
1540346,42,36,40,62
1540364,42,36,49,77
1540365,42,36,49,77
1540377,42,36,42,68
1540408,42,20,42,55
1540446,42,36,40,62
1540464,42,36,49,77
1540465,42,36,49,77
1540477,42,36,42,68
1570408,42,20,42,55
1570417,67,36,46,110
1570446,41,36,40,62
1570464,41,36,46,77
1570465,41,36,46,77
1570508,42,20,42,55
1570516,67,36,46,110
1570517,67,36,46,110
1570546,41,36,40,62
1570564,41,36,46,77
1570565,41,36,46,77
1570577,41,36,41,68
1570608,42,20,42,55
1570616,67,36,46,110
1570617,67,36,46,110
1570646,41,36,40,62
1570664,41,36,46,77
1570665,41,36,46,77
1570677,41,36,41,68
1620320,43,35,35,73
1620335,43,35,59,112
1620338,43,35,82,138
1640346,39,35.25,41,64
1640377,40,35.25,39.5,68
1660046,37.5,38.5,24,36
1660055,37.5,38.5,54,73
1660056,37.5,38.5,54,73
1660146,37.5,38.5,24,36
1660156,37.5,38.5,54,73
1660167,37.5,38.5,90,114
1662046,37.5,38.5,24,36
1700308,36,20,36,35
1700316,90,38,34,116
1700317,90,38,34,116
1700325,40,38,35,93
1700335,38,38,62,99
1700338,38,38,85,122
1700339,38,38,85,186
1700366,37,38,76,111
1700367,37,38,76,111
1700408,36,20,36,35
1700416,90,38,34,116
1700417,90,38,34,116
1700425,40,38,35,93
1700435,38,38,62,99
1700438,38,38,85,122
1700439,38,38,85,187
1700466,37,38,76,111
1700467,37,38,76,111
1740216,70,31,43,100
1740217,70,31,43,100
1740234,43,31,52,86
1740255,43,31,61,84
1740256,43,31,61,84
1740267,43,31,87,137
1740277,43,31,43,81
1780117,37,35,75,99
1780135,38,36,59,86
1830416,68,36,41,106
1830417,68,36,41,106
1830446,41,36,31,58
1830464,41,36,41,89
1830465,41,36,41,89
1830477,41,36,41,85
1840308,36,18,36,39
1840316,90,36,35,110
1840317,90,36,35,110
1840321,54,39,58,134
1840366,38,36,81,116
1840367,38,36,81,116
1860308,30,20,52,34
1860366,39,41,81,105
1860367,39,41,81,105
1870414,24,19,44,34
1870421,56,40,57,134
1870423,44,40,49,117
1870435,44,40,68,141
1870438,44,40,95,187
1920208,37,18,37,43
1920246,39,38,24,48
1920248,39,38,98,158
1920249,39,38,98,158
1920255,39,38,59,97
1920256,39,38,59,97
1930414,24,22,44,43
1930423,40,40,48,109
1930435,40,40,67,158
1930438,40,40,93,189
1950408,40,20,40,25
1950435,40,40,68,101
1950438,40,40,92,138
1950439,40,40,92,203
1960408,51,20,51,61
1960446,44,38,39,67
1960466,43,38,86,130
1960467,43,38,86,130
1960477,43,38,43,80
2010166,37,38,82,114
2010266,37,38,82,114
2010267,37,38,82,114
2012166,37,38,82,114
2012266,37,38,82,114
2030511,40,21,40,119
2030516,65,36,38,132
2030517,65,36,38,132
2030546,41,36,32,64
2030564,41,36,38,93
2030565,41,36,38,93
2030577,41,36,41,101
2050202,62,41,87,175
2050203,62,41,87,175
2050211,38,22,38,93
2050216,88,41,38,142
2050217,88,41,38,142
2050221,55,36,56,134
2090402,62,40,87,175
2090403,62,40,87,175
2090411,37,20,37,43
2090416,86,40,37,142
2090417,86,40,37,142
2110408,51,20,51,61
2110415,64,37,51,136
2110416,70,38,51,140
2110417,70,38,51,140
2110421,55,36,58,134
2110446,43,38,39,83
2110464,43,38,49,102
2110465,43,38,49,102
2110477,43,38,43,95
2110508,51,20,51,61
2110515,64,37,51,136
2110516,70,38,50,140
2110517,70,38,50,140
2110521,55,38,58,134
2110546,43,38,39,83
2110564,43,38,49,102
2110565,43,38,49,102
2110577,43,38,43,95
2120515,64,38,43,106
2120535,38,38,65,113
2120538,38,38,88,122
2130108,34,18,40,39
2130146,38,29,33,53
2130164,38,29,41,71
2130165,38,29,41,71
2130177,38,29,38,63
2170614,24,18,34,30
2170620,38,38,39,77
2170635,38,38,62,118
2170638,38,38,85,130
2170639,38,38,85,195
2170714,24,18,34,30
2170720,38,38,39,77
2170735,38,38,62,118
2170738,38,38,85,130
2170739,38,38,85,195
2190420,36.25,32.5,41.5,84
2190435,37,33,66,115
2190438,37,33,92,148
2220108,40,19,40,74
2220116,68,36,37,93
2220117,68,36,37,93
2220146,41,36,32,55
2220164,41,36,37,73
2220165,41,36,37,73
2220177,41,36,41,83
2240502,62,40,87,170
2240503,62,40,87,170
2240516,86,40,37,139
2240517,86,40,37,139
2250111,44,21,44,80
2250116,66,36,38,107
2250117,66,36,38,107
2250146,41,36,32,58
2250164,41,36,38,78
2250165,41,36,38,78
2250177,41,36,41,83
2340214,23,18,44,28
2420325,42,41,41,102
2420335,38,38,61,94
2420338,38,38,83,125
2420425,42,41,41,102
2420435,38,38,61,94
2420438,38,38,83,125
2420525,42,41,41,102
2420535,38,38,61,94
2420538,38,38,83,125
2430308,38,20,38,39
2430316,90,37,34,114
2430317,90,37,34,114
2430325,39,40,34,93
2430335,37,37,62,98
2430338,37,37,85,123
