part_number,depth,height,length,weight
M67411X,74,12,37,38
M67421,74,12,52,47
M67421X,74,12,52,47
M67431,79,12,59,62
M67441,79,12,75,75
M67451,83,12,71,77
M69911,74.5,10,38,30
M69921,74.5,10,53,46
M69931,79.5,10,60,53
M69941,79.5,10,76,67
M69951,83.5,10,71,67
M71431,79.5,14,60,70
M71441,79.5,14,76,89
M71451,83.5,14,72,90
M71451X,83.5,14,72,90
M72611,74,8,37,25
M72621,74,8,52,39
M72631,79,8,59,46
M72641,79,8,75,56
M72711,74,12,37,37
M72721,74,12,52,60
M72731,79,12,59,62
M72741,79,12,75,77
M72751,83,12,71,80
B008-101,22,27.25,38,41
B008-125,28,26,28,33
B008-225,28,26,28,39
B008-327,18,45,39.88,46
B060-122,18.13,29.75,40.25,67
B060-22,18.13,29.75,40.13,66
B060-65,11.13,43.25,64.63,94
B060-91,15.88,22.13,20.13,33
B067-65,11,43.13,65.63,70
B067-91,15.5,24.13,19.5,35
B070-31,15.31,36.42,58.7,159
B070-36,0.98,35.35,41.34,22
B070-46,15.67,53.98,31.73,142
B070-55,78.78,52.87,56.38,56
B070-71,83.9,52.87,63.39,76
B070-72,83.9,52.87,79.88,93
B070-86,76.77,14.29,55,33
B070-92,15.31,24.37,21.69,38.4
B070-95,62.01,14.29,81.89,36
B070-96,81.89,14.29,62.01,31
B070-97,81.89,14.29,78.5,33
B076-260,74.5,8.88,41.75,33
B076-280,41.5,39,78,51
B076-671,78,40.38,41.5,36
B076-672,78,39.88,56.5,45
B076-681,82.75,39.88,63.5,52
B078-62P,1.88,48,42.38,46
B080-182,86,53.5,82.75,101
B080-381,89.63,48.63,65.75,88
B080-382,89.75,44.75,82,99
B080-481,89.5,48.25,65.25,88
B080-482,89.5,44.75,81.75,99
B080-882,87,47.5,81.75,112
B081-162,78.25,34,42.75,86
B081-362P,1.5,34.13,41.38,77
B081-362R,40.63,4.38,74.75,41
B081-62D,22,11.5,30,54
B082-156F,41.75,79,78.13,60
B082-156S,2.5,0.63,39.25,12
B082-161,79.75,61.25,43.5,79
B082-162,79.75,61,58.5,86
B082-256F,41.75,79,78.13,59
B082-256P,41.75,79,78.13,64
B082-261,79.75,61.25,43.25,76
B090-781,87,60,66.5,103
B090-782,87,60,82.5,121
B091-081,65.5,48.25,86.13,101
B091-181,86,48.13,65.5,92
B091-182,85.63,47.63,80,106
B092-50,19.75,11.25,38,101
B092-53,80,50.75,43.5,90
B095-772,75.88,9.88,56.25,63
B100-11,70.63,0.56,38.44,24
B100-12,70.63,0.56,53.38,34
B100-13,75.69,0.56,60.38,30
B100-14,75.69,0.56,76.94,37
B100-21,70.38,9,38.75,22.35
B100-31,70.25,9,61,26.85
B100-66,70.25,9,61,37.35
B1013-154,84.37,16.69,62.64,43
B1013-156,84.37,16.69,79.13,52
B1013-157,6.46,42.6,72.17,49
B1013-158,6.46,42.6,89.17,59
B1013-231,19.69,32.56,62.01,174
B1013-345,19.69,49.41,40.71,169
B1013-36,1.3,27.68,38.86,16
B1013-54,3.78,17.28,62.72,27
B1013-56,3.78,17.28,79.21,33
B1013-57,6.42,52.64,63.15,53
B1013-58,6.42,52.64,79.65,63
B1013-92,15.79,21.97,21.3,37
B1013-95,82.44,14.29,62.01,36
B102-59S,70.38,0.63,38.38,30.86
B103-59R,76,16.63,40.38,52.91
B1036-102,8.11,29.76,21.26,36
B1036-231,19.33,35.63,62.01,179
B1036-345,19.33,52.48,44.65,163
B1036-36,1.3,27.68,38.86,16
B1036-54,1.73,20.39,62.83,23
B1036-56,1.73,20.39,79.33,29
B1036-57,1.5,51.34,62.68,42
B1036-58,1.5,51.34,79.17,48
B1036-92,15.43,25,21.3,40
B1036-96,82.44,14.29,62.28,32
B1036-97,82.44,14.29,78.78,35.1
B1050-31,15.31,36.42,58.7,151
B1050-36,0.98,30.67,41.85,19
B1050-46,15.31,53.94,31.73,144
B1050-50,78.9,14.17,15.35,46
B1050-52,4.45,20.39,40.51,27
B1050-53,4.45,48.5,40.51,45
B1050-54,4.45,20.39,62.52,35
B1050-54S,15.35,16.77,62.52,53
B1050-56,4.45,20.39,79.02,42
B1050-56S,15.35,16.77,79.02,61
B1050-57,4.45,48.5,62.52,55
B1050-58,4.45,48.5,79.02,65
B1050-60,15.35,14.17,81.89,50
B1050-83,78.9,7.17,40.28,29
B1050-84,4.45,20.39,55.51,33
B1050-84S,15.35,16.77,55.51,48
B1050-86,78.9,14.29,55.28,30
B1050-87,4.45,48.5,55.51,53
B1050-89,78.9,7.17,55,29
B1050-92,15.31,24.37,21.69,41
B1050-95,84.02,14.29,62.01,36
B1050-96,84.02,14.29,62.28,30
B1050-97,84.02,14.29,78.78,33
B1055-231,19.53,36.46,59.53,170
B1055-245,19.53,51.06,30.24,130
B1055-36,1.26,46.54,40.39,23
B1055-64,5.83,26.42,64.33,48
B1055-66,5.83,26.42,80.79,56
B1055-67,3.43,61.5,64.96,71
B1055-68,3.43,61.54,81.46,87
B1055-92,15.59,26.57,24.41,41
B1055-96,82.44,14.29,62.01,32
B1055-97,82.44,14.29,78.5,32
B106-56,56,59.63,78.5,99.21
B106-59,75,61.63,40.75,90
B1126-35,1.3,30.67,41.85,19
B1126-62,7.09,28.46,40.83,35
B1126-74,7.09,28.46,62.83,45
B1126-82,71.42,7.17,40.28,21
B1126-84,7.09,28.46,55.83,37
B1126-88,71.42,11.18,55,26
B1145-231,19.53,40,60.83,175
B1145-345,19.53,51.02,44.25,158
B1145-36,1.3,30.67,41.85,19
B1145-54,1.5,19.72,62.64,28
B1145-57,1.77,52.68,62.99,65
B1145-62,6.06,61.26,12.13,37
B1145-64,6.06,32.13,64.61,47
B1145-66,6.06,32.13,81.1,53
B1145-67,1.77,29.76,58.5,52
B1145-68,1.77,29.84,75.04,62
B1145-84,1.5,19.72,55.63,26
B1145-86,78.9,14.29,55.28,30
B1145-92,15.55,25.75,23.66,45
B1145-96,84.02,14.29,62.28,32
B1145-98,82.44,14.29,62.28,32
B1145-99,82.44,14.29,78.78,34
B1190-31,15.59,36.77,58.98,165
B1190-36,1.3,30.67,41.85,19
B1190-44,15.59,46.85,31.81,124
B1190-54,1.5,19.96,63.39,25
B1190-55,78.78,52.87,56.38,60
B1190-56,1.5,19.96,79.88,31
B1190-57,2.99,60.75,64.33,70
B1190-58,2.99,60.75,80.83,85
B1190-71,82.32,52.87,63.39,66
B1190-72,82.32,52.87,79.88,83
B1190-86,76.77,14.29,55,28
B1190-92,15.59,24.72,21.69,43
B1190-96,80.31,14.29,62.01,31
B1190-97,80.31,14.29,78.5,33
B1190-98,82.44,14.29,62.28,32
B1190-99,82.44,14.29,78.78,34
B1191-31,15.59,36.77,58.98,165
B1191-36,1.3,30.67,41.85,19
B1191-44,15.59,46.65,31.81,124
B1191-54,1.5,19.96,63.39,25
B1191-55,78.78,52.87,56.38,60
B1191-56,1.5,19.96,79.88,31
B1191-57,2.99,60.75,64.33,70
B1191-58,2.99,60.75,80.83,85
B1191-71,82.32,52.87,63.39,66
B1191-72,82.32,52.87,79.88,83
B1191-86,76.77,14.29,55,28
B1191-92,15.59,24.72,21.69,43
B1191-96,80.31,14.29,62.01,31
B1191-97,80.31,14.29,78.5,33
B1191-98,82.44,14.29,62.28,32
B1191-99,82.44,14.29,78.78,34
B1192-31,15.59,36.77,58.98,165
B1192-36,1.3,30.67,41.85,19
B1192-44,15.59,46.65,31.81,124
B1192-54,1.5,19.96,63.39,25
B1192-55,78.78,52.87,56.38,60
B1192-56,1.5,19.96,79.88,31
B1192-57,2.99,60.75,64.33,70
B1192-58,2.99,60.75,80.83,85
B1192-71,82.32,52.87,63.39,66
B1192-72,82.32,52.87,79.88,83
B1192-86,76.77,14.29,55,28
B1192-92,15.59,24.72,21.69,43
B1192-96,80.31,14.29,62.01,31
B1192-97,80.31,14.29,78.5,33
B1192-98,82.44,14.29,62.28,32
B1192-99,82.44,14.29,78.78,34
B1199-154,82.52,15.28,62.64,43
B1199-156,82.52,15.28,79.13,46
B1199-184,77.4,15.28,55.63,39
B1199-231,19.65,35.67,62.01,174
B1199-345,19.69,52.48,40.71,169
B1199-36,1.3,27.68,38.86,16
B1199-57,6.42,52.64,63.15,53
B1199-58,6.38,52.64,79.65,63
B1199-72,86.13,46.5,62.25,128
B1199-81,87,46.5,68.88,141
B1199-82,89.88,46.5,85.13,165
B1199-87,6.42,52.64,56.14,42
B1199-91,15.79,25,21.3,32
B1199-94,95,46.5,81,163
B128-31,15.83,32.48,59.76,144
B128-36,1.46,41.06,37.24,34
B128-46,15.83,44.69,29.76,119
B128-62,7.09,28.46,40.83,35
B128-63,7.09,44.49,40.67,35
B128-74,7.09,28.46,62.83,45
B128-77,7.09,44.49,62.68,45
B128-82,71.42,7.17,40.28,21
B128-84,7.09,28.46,55.83,37
B128-87,7.09,44.49,55.67,40
B128-88,71.42,11.18,55,26
B128-92,15.83,24.45,20.28,39
B128-98,76.93,11.18,62.01,28
B129-31,15.83,32.48,59.76,144
B129-36,1.46,41.06,37.24,34
B129-46,15.83,44.69,29.76,119
B129-62,7.09,28.46,40.83,35
B129-63,7.09,44.49,40.67,35
B129-74,7.09,28.46,62.83,45
B129-77,7.09,44.49,62.68,45
B129-82,71.42,7.17,40.28,21
